,tweets
53,RT @TODAY_ent: Adele's #Skyfall wins best original song in a motion picture http://t.co/sKR3pN9e #GoldenGlobes
54,RT @JAWANNBC6: Adele continues to rock!  #Skyfall wins best original song for motion picture #GoldenGlobes
55,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
56,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
57,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
58,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
59,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
60,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
61,RT @TODAY_ent: Adele's #Skyfall wins best original song in a motion picture http://t.co/sKR3pN9e #GoldenGlobes
62,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
63,"@007 wins! RT @eonline tweeted at 7:50 PM on Sun, Jan 13, 2013:
Best Original Song, Motion Picture: Skyfall by @OfficialAdele! #GoldenGlobes"
64,"RT @THR ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/c7fwzS0k"
65,"RT @THR ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/aIAsPICz"
66,"""Skyfall"" from ""Skyfall"" wins for Best Original Song in a Motion Picture #GoldenGlobes"
67,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
68,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
69,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
70,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
71,RT @WSJspeakeasy: 'Skyfall' by Adele wins Best Original Song Motion Picture. #GoldenGlobes
72,"#GoldenGlobes Best Original Song - Motion Picture
: WINNER Skyfall (2012): Adele, Paul Epworth(""Skyfall"")"
73,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
74,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
75,Taylor Swifts expression when Adele won Best Original Song Motion Picture #GoldenGlobes LOL. http://t.co/lsoVXzz0
76,"RT @MyStarTwo: ""Skyfall"" wins best original song in a motion picture; ""Life Of Pi"" (Michael Danna) wins best original score  #GoldenGlobes"
77,“@washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/rcMMT3ZR #GoldenGlobes” great song indeed!
78,Seeing Daniel Craig and Adele high five on thw golden globes when she wins most original song for motion picture &gt;&gt;&gt;&gt;
79,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
80,RT @TODAY_ent: Adele's #Skyfall wins best original song in a motion picture http://t.co/sKR3pN9e #GoldenGlobes
81,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
82,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
83,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
84,"New ""mum"" Adele wins best original song in a motion picture for ""Skyfall"" http://t.co/0fowuLoE #GoldenGlobes”"
85,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
86,Woop woop RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/lugneR8M #GoldenGlobes
87,RT @TODAY_ent: Adele's #Skyfall wins best original song in a motion picture http://t.co/sKR3pN9e #GoldenGlobes
88,RT @nbc: “Skyfall” from Skyfall wins for Best Original Song - Motion Picture! #GoldenGlobes
89,RT @MTVNews: We love how touched Adele was when she won the Best Original Song Motion Picture award for #Skyfall! http://t.co/Z36SYljF #GoldenGlobes
90,[HD] Golden Globes 2013: Adele wins for Best Original Song Motion Picture Golden Globes 2013 http://t.co/5fStxTtl
