,tweets
45,RT @ABCNewsEnt: Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
46,"Best Performance by an Actor in a Motion Picture, Comedy or Musical goes to Hugh Jackman for ""Les Miserables."" #GoldenGlobes"
47,"Hugh Jackman has just won Best Performance by an Actor in a Motion Picture - Musical or Comedy for ""Les Misérables"" #GoldenGlobes"
48,"Hugh Jackman wins Best Actor in Musical or Comedy...but it should have been Jack Black for Bernie, an incredible performance #GoldenGlobes"
49,Hugh Jackman Best Actor in Comedy/Musical - These separate categories at the #goldenglobes allow performances to not go unnoticed #LesMis
50,"RT @PerezHilton: An awards show is not complete without a musical number - performance, comedy song, what have you! You're lacking, #GoldenGlobes!!!"
51,"RT @PerezHilton: An awards show is not complete without a musical number - performance, comedy song, what have you! You're lacking, #GoldenGlobes!!!"
52,"RT @PerezHilton: An awards show is not complete without a musical number - performance, comedy song, what have you! You're lacking, #GoldenGlobes!!!"
53,"RT @PerezHilton: An awards show is not complete without a musical number - performance, comedy song, what have you! You're lacking, #GoldenGlobes!!!"
54,"RT @PerezHilton: An awards show is not complete without a musical number - performance, comedy song, what have you! You're lacking, #GoldenGlobes!!!"
55,"RT @PerezHilton: An awards show is not complete without a musical number - performance, comedy song, what have you! You're lacking, #GoldenGlobes!!!"
56,"RT @PerezHilton: An awards show is not complete without a musical number - performance, comedy song, what have you! You're lacking, #GoldenGlobes!!!"
57,"Daniel Day Lewis just won for Best Performance for Acceptance Speech, Musical or Comedy. #GoldenGlobes"
58,"RT @PerezHilton: An awards show is not complete without a musical number - performance, comedy song, what have you! You're lacking, #GoldenGlobes!!!"
59,"RT @CNNLADavid: That's Maggie Smith's 3rd GG: Actress, Musical/Comedy in 1979, CALIFORNIA SUITE; Supporting Actress, 1987, A ROOM WITH A VIEW #goldenglobes"
60,#goldenglobes #actresscomedymusical goes to Jennifer Lawrence
61,"Jennifer Lawrence wins Best Actress in Comedy/Musical for ""Silver Linings Playbook"" #GoldenGlobes"
62,Best Actress in a Comedy or Musical Film Winner is... Jennifer Lawrence for Silver Linings Playbook!! #GoldenGlobes #fem2
63,"The Golden Globe Best Performance by an Actress in a Comedy or Musical goes to Jennifer Lawrence for ""Silver Linings Playbook"" #GoldenGlobes"
64,RT @JLdaily: Jennifer Lawrence has just won the @goldenglobes award for 'Best Actress in a Comedy or Musical' #goldenglobes #GOJLAW
65,RT @JLdaily: Jennifer Lawrence has just won the @goldenglobes award for 'Best Actress in a Comedy or Musical' #goldenglobes #GOJLAW
66,Best Actress Comedy or Musical goes to the great Jennifer Lawrence for Silver Linings! Amazing #GoldenGlobes
67,"RT @THR: Jennifer Lawrence wins the #GoldenGlobe for Best Actress in a Comedy or Musical for ""Silver Linings Playbook."" http://t.co/bEbOJaJ5"
