,tweets
72,Motion Picture Screenplay goes to BIRDMANS! #GoldenGlobes Very much deserved! #alejandrogonzalesinarritu
73,#GoldenGlobes: Best screenplay - motion picture goes to the Birdman team.
74,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
75,#GoldenGlobes: Best screenplay - motion picture goes to the Birdman team.
76,"BIRDMAN wins Best Screenplay, Motion Picture. Looks like #GoldenGlobes sharing the wealth."
77,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
78,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
79,RT @CineplexMovies: Best Screenplay - Motion Picture goes to... BIRDMAN #GoldenGlobes
80,The @goldenglobes for Best Screenplay - Motion Picture goes to #BirdmanMovie! #GoldenGlobes
81,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
82,Birdman wins for Motion Picture Screenplay! #GoldenGlobes
83,Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
84,Birdman wins best screenplay for a motion picture. #GoldenGlobes
85,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
86,RT @CineplexMovies: Best Screenplay - Motion Picture goes to... BIRDMAN #GoldenGlobes
87,"Best Screenplay, Motion Picture goes to ‘Birdman.’ #GoldenGlobes"
88,"Best Screenplay, Motion Picture goes to ‘Birdman.’ #GoldenGlobes"
89,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
90,"RT @FilmFatale_NYC: Birdman wins Best Screenplay, Motion Picture #GoldenGlobes"
91,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
92,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
93,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
94,RT @CineplexMovies: Best Screenplay - Motion Picture goes to... BIRDMAN #GoldenGlobes
95,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
96,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
97,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
98,"""Birdman"" wins Best Screenplay - Motion Picture. #GoldenGlobes https://t.co/nwVAag0BI0"
99,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
100,Best Screenplay from a Motion Picture award winner: Alejandro Gonzalez Iñarritu from Birdman #GoldenGlobes
101,"RT @Zap2it: Congrats to #BirdmanMovie Winner of the #GoldenGlobes Best Screenplay, Motion Picture"
102,"""Birdman"" wins best screenplay, motion picture #JUMPglobes #GoldenGlobes - @MrDRadio http://t.co/v3vzQlhVBJ"
103,The Best Screenplay - Motion Picture goes to Birdman! #GoldenGlobes
104,"RT @mashable: Best Screenplay, Motion Picture goes to ‘Birdman.’ #GoldenGlobes"
105,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
106,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
107,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
108,"RT @mashable: Best Screenplay, Motion Picture goes to ‘Birdman.’ #GoldenGlobes"
109,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
110,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
111,#BirdmanMovie wins Best Screenplay - Motion Picture #GoldenGlobes2015
112,Best Screenplay for a Motion Picture goes to #Birdman. #GoldenGlobes
113,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
114,"RT @mashable: Best Screenplay, Motion Picture goes to ‘Birdman.’ #GoldenGlobes"
115,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
116,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
117,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
118,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
119,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
120,“@HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes” Awesome film! If you haven't seen it yet do! Now!
121,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
122,Birdman wins for motion picture screenplay. 1st win for the film. @KNX1070 #GoldenGlobes
123,"RT @mashable: Best Screenplay, Motion Picture goes to ‘Birdman.’ #GoldenGlobes"
124,"RT @mashable: Best Screenplay, Motion Picture goes to ‘Birdman.’ #GoldenGlobes"
125,#GoldenGlobes Best screenplay - motion picture goes to... #Birdman
126,"RT @JumpOttawa: ""Birdman"" wins best screenplay, motion picture #JUMPglobes #GoldenGlobes - @MrDRadio http://t.co/v3vzQlhVBJ"
127,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
128,"RT @mashable: Best Screenplay, Motion Picture goes to ‘Birdman.’ #GoldenGlobes"
129,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
130,"And the winner for Best Screenplay, Motion Picture is Birdman #goldenglobes2015"
131,RT @ABC: Best Screenplay in a Motion Picture goes to 'Birdman' - @GMA #GoldenGlobes
