,tweets
51,"Best actress in a TV series, musical or comedy goes to Gina Rodriguez for ""Jane the Virgin"" #GoldenGlobes"
52,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
53,"Best Actress--TV Series, Musical or Comedy. ... Aaaand the #goldenglobe goes to #JanetheVirgin's #GinaRodriguez !"
54,Gina Rodriguez for #JaneTheVirgin wins! #GoldenGlobes2015 #Bestactressinatvseriesmusicalorcomedy
55,#GoldenGlobes Best Actress in a TV Series - Musical or Comedy goes to Gina Rodriguez #JaneTheVirgin
56,"RT @TerransTake: Gina Rodriguez in Jane The Virgin won her first Golden Globe for Best Actress in a TV Series, Musical or Comedy"
57,"Congrats to @HereIsGina! #GoldenGlobe Winner for Best Actress in a TV Series, Musical or Comedy! #JaneTheVirgin http://t.co/1nbiNovayO"
58,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
59,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
60,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
61,"CONGRATS!!! RT @latimesent: Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
62,"RT @TYFofficial: Best Actress in a TV Series, Musical or Comedy goes to... GINA RODRIGUEZ! JANE THE VIRGIN! OH MY GOD #GoldenGlobes"
63,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
64,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
65,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
66,"Gina Rodriguez wins the #GoldenGlobe for Best Actress in a TV Series, Musical or Comedy for #JaneTheVirgin"
67,"Best Actress In TV Series, Musical or Comedy @goldenglobes goes to @HereIsGina for #JaneTheVirgin! 

#GoldenGIobes"
68,"RT @LaGeeketteMaria: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez for Jane the Virgin!!!!  #GoldenGlobes"
69,The Golden Globe for Best Actress in a TV series musical or comedy goes to Gina Rodrigues for 'Jane the Virgin'
70,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
71,"Best Actress in a TV Series, Musical or Comedy Winner - Gina Rodriguez for #JaneTheVirgin #GoldenGlobes"
72,Best TV Series Actress in Comedy or Musical goes to Gina Rodriguez in JANE THE VIRGIN #GoldenGlobes #ItsStageTalk
73,"Gina Rodriguez winsActress in TV Series, Musical or Comedy for Jane The Virgin #GoldenGlobes and walks out to some snappy bongo playing"
74,"The @goldenglobes for Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez - #JaneTheVirgin! #GoldenGlobes"
75,"And the winner of Best Actress in TV Series, Musical or Comedy goes to ... Gina Rodriguez! http://t.co/4XFRFo9OQR #GoldenGlobes"
76,"RT @RivetEnt: Best Actress--TV Series, Musical or Comedy. ... Aaaand the #goldenglobe goes to #JanetheVirgin's #GinaRodriguez !"
77,"And the winner of Best Actress in TV Series, Musical or Comedy goes to ... Gina Rodriguez! http://t.co/WC2xAoqBSl #GoldenGlobes via  newscom"
78,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
79,Gina Rodriguez wins best actress in a TV series comedy/musical for Jane the Virgin.  Her 1st nomination &amp; 1st win. @KNX1070 #GoldenGlobes
80,RT @TVOvermind: Best Actress in a Musical or Comedy Series goes to Gina Rodriguez! #JaneTheVirgin #GoldenGlobes
81,"#GoldenGlobes: Best actress in a TV series, musical or comedy goes to Gina Rodriguez from Jane The Virgin"
82,"#GoldenGlobes: Best actress in a TV series, musical or comedy goes to Gina Rodriguez from Jane The Virgin"
83,"#GoldenGlobes: Best actress in a TV series, musical or comedy goes to Gina Rodriguez from Jane The Virgin"
84,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
85,And the winner for Best Actress in a TV Series (Comedy Or Musical) is… Gina Rodriguez in #JaneTheVirgin. #GoldenGlobes
86,.@HereIsGina @CWJaneTheVirgin winner of the Best Actress- TV Series Comedy or Musical #GoldenGlobes
87,OOOOOH wow! Gina Rodriguez from Jane the Virgin just won #GoldenGlobes for Best Actress - TV Series - comedy/musical
88,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
89,"Gina Rodriguez from @JanetheVirginTV  Wins Best actress in a TV series, comedy or musical. #GoldenGlobes"
90,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
91,"RT @tvdfansonline: CONGRATS!!! RT @latimesent: Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
92,"Best actress in a TV-Series, comedy or musical goes to Gina Rodriguez!!!! #GoldenGlobes #LatinosInTV"
93,"RT @StarryMag: Best Actress In TV Series, Musical or Comedy @goldenglobes goes to @HereIsGina for #JaneTheVirgin! 

#GoldenGIobes"
94,"Gina Rodriguez wins Best Actress is a TV Series, Musical or Comedy for her role in ""Jane the Virgin."" #GoldenGlobes"
95,"RT @latimesent: Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
96,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
97,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
98,"Best Actress in a TV Series, Musical or Comedy goes to... Gina Rodriguez for #JaneTheVirgin. What a win for the @CW_network! #GoldenGlobes"
99,Best actress in a TV series musical or comedy goes to #JaneTheVirgin's @HereIsGina #GoldenGloves http://t.co/5pZplSgcjQ
100,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
101,"“@HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes” 👏👏👏"
