,tweets
1927,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1928,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1929,"#GoldenGlobes BEST MOTION PICTURE COMEDY OR MUSICAL Goes To ""The Grand Budapest Hotel"" http://t.co/f9BAH1THQt"
1930,The Grand Budapest Hotel wins for best motion picture-comedy or musical #GoldenGlobes
1931,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1932,Winner Best Motion Picture- Comedy or Musical #TheGrandBudapestHotel #GoldenGlobes
1933,"Best Motion Picture, Comedy or Musical Winner - The Grand Budapest Hotel #GoldenGlobes"
1934,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1935,#GoldenGlobes' Best Motion Picture: Comedy/Musical goes to... #TheGrandBudapestHotel
1936,"RT @CineplexMovies: Best Motion Picture, Comedy or Musical goes to... THE GRAND BUDAPEST HOTEL #GoldenGlobes"
1937,"Best Motion Picture, Musical or Comedy Award goes to  #TheGrandBudapestHotel
#GoldenGlobes #Awardseason"
1938,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1939,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1940,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1941,RT @joblocom: Best motion picture comedy or musical goes to The Grand Budapest Hotel #GoldenGlobes
1942,RT @outmagazine: #GrandBudapestHotel wins best motion picture (comedy or musical)! #GoldenGlobes
1943,"And now, the winner for Best Motion Picture, Comedy or Musical is none other than The Grand Budapest Hotel! #GoldenGlobes"
1944,"RT @HuffPostEnt: Whoa! Best motion picture, comedy or musical goes to The Grand Budapest Hotel #GoldenGlobes"
1945,"The Golden Globe for Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel!!!! #GoWesAnderson! #GoldenGlobes"
1946,And the 2015 #GoldenGlobes award for Best Motion Picture Comedy or Musical goes to The Grand Budapest Hotel
1947,Best Motion Picture comedy or musical award winner: The Grand Budapest Hotel #GoldenGlobes
1948,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1949,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1950,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1952,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1953,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1954,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1955,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1956,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1957,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1958,RT @voxdotcom: The Golden Globe for Best Motion Picture (Comedy or Musical) goes to... The Budapest Hotel.
1959,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1960,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1961,"The Grand Budapest Hotel wins the #GoldenGlobes Award for best motion picture, comedy or musical"
1962,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1963,"""Grand Budapest Hotel"" wins best motion picture, comedy or musical. #GoldenGlobes"
1964,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1965,RT @geeksofdoom: Best Motion Picture – Comedy Or Musical: WINNER: The Grand Budapest Hotel! #GoldenGlobes Great film!
1966,"The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical #GoldenGlobes  http://t.co/1GXGBQydTi"
1967,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1968,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1969,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1970,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1971,"#TheGrandBudapestHotel wins Best Motion Picture, Musical or Comedy. #GoldenGlobes2015"
1972,"RT @Star_News: The #GoldenGlobe for Best Motion Picture, Comedy or Musical goes to...'The Grand Budapest Hotel!'"
1973,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1974,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1975,And the winner for Best Motion Picture Comedy or Musical is... #TheGrandBudapestHotel! #GoldenGlobes #loveit #welldeserved
1976,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1977,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1978,"#GoldenGlobes for best motion picture, comedy or musical, goes to ... #TheGrandBudapestHotel #GoldenGlobes ... #Hollywood"
1979,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1980,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1983,"Golden Globe Winner Best Motion Picture, Musical or Comedy
- The Grand Budapest Hotel
#GoldenGlobes"
1984,Best Motion Picture Motion Picture Musical or Comedy goes to #TheGrandBudapestHotel #WesAnderson #GoldenGlobes
