,tweets
54,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
55,"RT @GossipCop: #GoldenGlobes BEST ACTOR, MOTION PICTURE COMEDY OR MUSICAL Goes To Michael Keaton http://t.co/f9BAH1THQt"
56,"RT @nbc: And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
57,Best Actor in a Motion Picture-Comedy or Musical goes to Michael Keaton for Birdman!!! #GoldenGlobes
58,"RT @nbc: And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
59,"Best Actor in a Motion Picture, Musical or Comedy goes to... MICHAEL KEATON for BIRDMAN #GoldenGlobes"
60,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
61,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
62,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
63,".@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
64,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
65,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
66,Best actor in a motion picture comedy or musical goes to Michael Keaton in Birdman #GoldenGlobes
67,Best actor in a motion picture comedy or musical goes to Michael Keaton in Birdman #GoldenGlobes
68,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
69,RT @outmagazine: #MichaelKeaton wins best actor in a motion picture (musical or comedy) for #Birdman! #GoldenGlobes
70,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
71,"The Golden Globe for Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton for Birdman. #GoldenGlobes #GoBeatlejuice!"
72,"RT @nbc: And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
73,"RT @nbc: And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
74,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
75,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
76,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
77,"RT @latimesent: Best actor--motion picture, comedy or musical goes to ... Michael Keaton #GoldenGlobes"
78,Best Actor in Motion Picture (Comedy or Musical) goes to Michael Keaton! #GoldenGlobes
79,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
80,"The @goldenglobes for Best Actor in a Motion Picture, Musical or Comedy goes to @MichaelKeaton - #Birdman! YES! #BirdmanMovie #GoldenGlobes"
81,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
82,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
83,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
84,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
85,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
86,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
87,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
88,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
89,"RT @ScreenGonzo: Best Actor in a Motion Picture, Comedy or Musical Winner - @MichaelKeaton for Birdman #GoldenGlobes"
90,RT @outmagazine: #MichaelKeaton wins best actor in a motion picture (musical or comedy) for #Birdman! #GoldenGlobes
91,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
92,Best Actor in a Motion Picture Comedy or Musical goes to Michael Keaton for #Birdman. #GoldenGlobes
93,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
94,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
95,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
96,"The #GoldenGlobe for Best Actor in a Motion Picture, Musical or Comedy goes to:  Michael Keaton (Birdman)  Congrats!  #GoldenGlobes"
97,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
98,RT @outmagazine: #MichaelKeaton wins best actor in a motion picture (musical or comedy) for #Birdman! #GoldenGlobes
99,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
100,"Golden Globe Winner Best Actor in a Motion Picture, Musical or Comedy
- Michael Keaton
(Birdman)
#GoldenGlobes"
101,"Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical for Birdman. #GoldenGlobes #Birdman"
102,"Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes"
103,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
104,"RT @nbc: And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
105,"Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
106,"Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes via @HuffingtonPost"
