,tweets
52,"RT @LaGeeketteMaria: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez for Jane the Virgin!!!!  #GoldenGlobes"
53,The Golden Globe for Best Actress in a TV series musical or comedy goes to Gina Rodrigues for 'Jane the Virgin'
54,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
55,"Best Actress in a TV Series, Musical or Comedy Winner - Gina Rodriguez for #JaneTheVirgin #GoldenGlobes"
56,Best TV Series Actress in Comedy or Musical goes to Gina Rodriguez in JANE THE VIRGIN #GoldenGlobes #ItsStageTalk
57,"Gina Rodriguez winsActress in TV Series, Musical or Comedy for Jane The Virgin #GoldenGlobes and walks out to some snappy bongo playing"
58,"The @goldenglobes for Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez - #JaneTheVirgin! #GoldenGlobes"
59,"And the winner of Best Actress in TV Series, Musical or Comedy goes to ... Gina Rodriguez! http://t.co/4XFRFo9OQR #GoldenGlobes"
60,"RT @RivetEnt: Best Actress--TV Series, Musical or Comedy. ... Aaaand the #goldenglobe goes to #JanetheVirgin's #GinaRodriguez !"
61,"And the winner of Best Actress in TV Series, Musical or Comedy goes to ... Gina Rodriguez! http://t.co/WC2xAoqBSl #GoldenGlobes via  newscom"
62,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
63,Gina Rodriguez wins best actress in a TV series comedy/musical for Jane the Virgin.  Her 1st nomination &amp; 1st win. @KNX1070 #GoldenGlobes
64,RT @TVOvermind: Best Actress in a Musical or Comedy Series goes to Gina Rodriguez! #JaneTheVirgin #GoldenGlobes
65,"#GoldenGlobes: Best actress in a TV series, musical or comedy goes to Gina Rodriguez from Jane The Virgin"
66,"#GoldenGlobes: Best actress in a TV series, musical or comedy goes to Gina Rodriguez from Jane The Virgin"
67,"#GoldenGlobes: Best actress in a TV series, musical or comedy goes to Gina Rodriguez from Jane The Virgin"
68,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
69,And the winner for Best Actress in a TV Series (Comedy Or Musical) is… Gina Rodriguez in #JaneTheVirgin. #GoldenGlobes
70,.@HereIsGina @CWJaneTheVirgin winner of the Best Actress- TV Series Comedy or Musical #GoldenGlobes
71,OOOOOH wow! Gina Rodriguez from Jane the Virgin just won #GoldenGlobes for Best Actress - TV Series - comedy/musical
72,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
73,"Gina Rodriguez from @JanetheVirginTV  Wins Best actress in a TV series, comedy or musical. #GoldenGlobes"
74,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
75,"RT @tvdfansonline: CONGRATS!!! RT @latimesent: Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
76,"Best actress in a TV-Series, comedy or musical goes to Gina Rodriguez!!!! #GoldenGlobes #LatinosInTV"
77,"RT @StarryMag: Best Actress In TV Series, Musical or Comedy @goldenglobes goes to @HereIsGina for #JaneTheVirgin! 

#GoldenGIobes"
78,"Gina Rodriguez wins Best Actress is a TV Series, Musical or Comedy for her role in ""Jane the Virgin."" #GoldenGlobes"
79,"RT @latimesent: Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
80,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
81,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
82,"Best Actress in a TV Series, Musical or Comedy goes to... Gina Rodriguez for #JaneTheVirgin. What a win for the @CW_network! #GoldenGlobes"
83,Best actress in a TV series musical or comedy goes to #JaneTheVirgin's @HereIsGina #GoldenGloves http://t.co/5pZplSgcjQ
84,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
85,"“@HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes” 👏👏👏"
86,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
87,"Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez (Jane the Virgin). #GoldenGlobes"
88,Gina Rodriguez wins Best Actress in a TV Series Musical or Comedy:  http://t.co/hcSwdg2ysL #GoldenGlobes
89,"HOLY SHIT GINA RODRIGUEZ wins for Best Actress in a TV Series, Musical or Comedy  #GoldenGlobes"
90,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
91,"Best Actress in a TV Series Musical/Comedy winner is...Gina Rodriguez for #JaneTheVirgin!! #GoldenGlobes 
#BitchFlicks"
92,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
93,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
94,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
95,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
96,"Gina Rodriguez
(Jane The Virgin)
WINS her first #GoldenGlobe
Best Actress in a TV Series, Musical or Comedy"
97,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
98,Best TV Series Actress in a Comedy or Musical goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes http://t.co/pRMZjcl5vx
99,"Straight from Walter White and Olivia Pope: Best Actress in a TV Series, Musical, or Comedy goes to GINA RODRIGUEZ! YES JANE. #GoldenGlobes"
100,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
101,"The #GoldenGlobe for Best Actress in a TV Series, Comedy or Musical, goes to Gina Rodriguez!"
102,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
103,#GoldenGlobes: Gina Rodriguez wins Best TV Series Actress - Comedy or Musical for Jane The Virgin
104,"#GoldenGlobes for best actress in a TV series, musical, or comedy goes to Gina Rodriguez for #JanetheVirgin"
105,"Best actress in a TV series, musical or comedy goes to Gina Rodriguez for ""Jane the Virgin"" #GoldenGlobes (via @CBSShowbiz )"
